1,FEC ID,state,STATE ABBREVIATION,"LAST NAME,  FIRST",individual_party,GENERAL RESULTS,TOTAL VOTES #,vote_pct,is_winner,
2,P80003353,Alabama,AL,"Romney, Mitt",R,1255925,,60.55,TRUE,
3,P80003338,Alabama,AL,"Obama, Barack",D,795696,,38.36,FALSE,
4,P20002671,Alabama,AL,"Johnson, Gary",IND,12328,,0.59,FALSE,
5,n/a,Alabama,AL,Scattered,W,4011,,0.19,FALSE,
6,P20003984,Alabama,AL,"Stein, Jill",IND,3397,,0.16,FALSE,
7,P20004685,Alabama,AL,"Goode, Virgil H., Jr.",IND,2981,,0.14,FALSE,
9,P80003353,Alaska,AK,"Romney, Mitt",R,164676,,54.8,TRUE,
10,P80003338,Alaska,AK,"Obama, Barack",D,122640,,40.81,FALSE,
11,P20002671,Alaska,AK,"Johnson, Gary",LIB,7392,,2.46,FALSE,
12,P20003984,Alaska,AK,"Stein, Jill",GRE,2917,,0.97,FALSE,
13,n/a,Alaska,AK,Scattered,W,2870,,0.96,FALSE,
15,P80003353,Arizona,AZ,"Romney, Mitt",R,1233654,,53.65,TRUE,
16,P80003338,Arizona,AZ,"Obama, Barack",D,1025232,,44.59,FALSE,
17,P20002671,Arizona,AZ,"Johnson, Gary",LIB,32100,,1.4,FALSE,
18,P20003984,Arizona,AZ,"Stein, Jill",GRE,7816,,0.34,FALSE,
26,P80003353,Arkansas,AR,"Romney, Mitt",R,647744,,60.57,TRUE,
27,P80003338,Arkansas,AR,"Obama, Barack",D,394409,,36.88,FALSE,
28,P20002671,Arkansas,AR,"Johnson, Gary",LIB,16276,,1.52,FALSE,
29,P20003984,Arkansas,AR,"Stein, Jill",GRE,9305,,0.87,FALSE,
30,P20004636,Arkansas,AR,"Lindsay, Peta",SLP,1734,,0.16,FALSE,
32,P80003338,California,CA,"Obama, Barack",D,7854285,,60.24,TRUE,
33,P80003353,California,CA,"Romney, Mitt",R,4839958,,37.12,FALSE,
34,P20002671,California,CA,"Johnson, Gary",LIB,143221,,1.1,FALSE,
35,P20003984,California,CA,"Stein, Jill",GRE,85638,,0.66,FALSE,
36,P20002804,California,CA,"Barr, Roseanne",PFP,53824,,0.41,FALSE,
37,P20005260,California,CA,"Hoefling, Thomas",AIP,38372,,0.29,FALSE,
38,P80000748,California,CA,"Paul, Ron",W,21461,,0.16,FALSE,
47,P80003338,Colorado,CO,"Obama, Barack",D,1323102,,51.49,TRUE,
48,P80003353,Colorado,CO,"Romney, Mitt",R,1185243,,46.13,FALSE,
49,P20002671,Colorado,CO,"Johnson, Gary",LIB,35545,,1.38,FALSE,
50,P20003984,Colorado,CO,"Stein, Jill",GRE,7508,,0.29,FALSE,
51,P20004685,Colorado,CO,"Goode, Virgil H., Jr.",AMC,6234,,0.24,FALSE,
52,P20002804,Colorado,CO,"Barr, Roseanne",PFP,5059,,0.2,FALSE,
53,P20003208,Colorado,CO,"Reed, Jill",UN,2589,,0.1,FALSE,
65,P80003338,Connecticut,CT,"Obama, Barack",D,905083,,58.06,TRUE,
66,P80003353,Connecticut,CT,"Romney, Mitt",R,634892,,40.73,FALSE,
67,P20002671,Connecticut,CT,"Johnson, Gary",LIB,12580,,0.81,FALSE,
68,P20004263,Connecticut,CT,"Anderson, Ross C. ""Rocky""",IP,5487,,0.35,FALSE,
76,P80003338,Delaware,DE,"Obama, Barack",D,242584,,58.61,TRUE,
77,P80003353,Delaware,DE,"Romney, Mitt",R,165484,,39.98,FALSE,
78,P20002671,Delaware,DE,"Johnson, Gary",LIB,3882,,0.94,FALSE,
79,P20003984,Delaware,DE,"Stein, Jill",GRE,1940,,0.47,FALSE,
90,P80003338,Florida,FL,"Obama, Barack",D,4237756,,50.01,TRUE,
91,P80003353,Florida,FL,"Romney, Mitt",R,4163447,,49.13,FALSE,
92,P20002671,Florida,FL,"Johnson, Gary",LBF,44726,,0.53,FALSE,
93,P20003984,Florida,FL,"Stein, Jill",GPF,8947,,0.11,FALSE,
94,P20002804,Florida,FL,"Barr, Roseanne",PFF,8154,,0.1,FALSE,
108,P80003353,Georgia,GA,"Romney, Mitt",R,2078688,,53.3,TRUE,
109,P80003338,Georgia,GA,"Obama, Barack",D,1773827,,45.48,FALSE,
110,P20002671,Georgia,GA,"Johnson, Gary",LIB,45324,,1.16,FALSE,
120,P80003338,Hawaii,HI,"Obama, Barack",D,306658,,70.55,TRUE,
121,P80003353,Hawaii,HI,"Romney, Mitt",R,121015,,27.84,FALSE,
122,P20002671,Hawaii,HI,"Johnson, Gary",LIB,3840,,0.88,FALSE,
123,P20003984,Hawaii,HI,"Stein, Jill",GRE,3184,,0.73,FALSE,
125,P80003353,Idaho,ID,"Romney, Mitt",R,420911,,64.53,TRUE,
126,P80003338,Idaho,ID,"Obama, Barack",D,212787,,32.62,FALSE,
127,P20002671,Idaho,ID,"Johnson, Gary",LIB,9453,,1.45,FALSE,
128,P20003984,Idaho,ID,"Stein, Jill",IND,4402,,0.67,FALSE,
129,P20004263,Idaho,ID,"Anderson, Ross C. ""Rocky""",IND,2499,,0.38,FALSE,
130,P20004685,Idaho,ID,"Goode, Virgil H.",CON,2222,,0.34,FALSE,
132,P80003338,Illinois,IL,"Obama, Barack",D,3019512,,57.6,TRUE,
